iter	Logloss
0	0.5805656106
1	0.5017706172
2	0.4505943296
3	0.411729542
4	0.3793380793
5	0.3579795753
6	0.3389228144
7	0.3233210738
8	0.3117973161
9	0.3016949697
10	0.2945303285
11	0.2880653136
12	0.2831348424
13	0.2775819526
14	0.2733413704
15	0.268122904
16	0.2641657938
17	0.2611317422
18	0.2583207935
19	0.2559044442
20	0.2540783951
21	0.2518757927
22	0.2494762892
23	0.2471531954
24	0.2450711432
25	0.2438953485
26	0.2425173253
27	0.2401039301
28	0.2382960402
29	0.2369164663
30	0.234667136
31	0.2335785279
32	0.232682777
33	0.2315770514
34	0.2308480695
35	0.2299005487
36	0.2284935672
37	0.2273098412
38	0.2263248838
39	0.2253991441
40	0.2248011421
41	0.2240573616
42	0.2233858848
43	0.2227603169
44	0.2221570444
45	0.2215275669
46	0.2208004877
47	0.2201738458
48	0.2194173398
49	0.2185701213
50	0.2181006115
51	0.2173541525
52	0.2167413403
53	0.2157470909
54	0.2152583398
55	0.2145731397
56	0.2140081113
57	0.2135788909
58	0.2131362592
59	0.2125096363
60	0.2120508393
61	0.2117582661
62	0.2112694846
63	0.210890912
64	0.2104157685
65	0.2097965364
66	0.2094118982
67	0.2089088825
68	0.2084185944
69	0.2079446021
70	0.2075050472
71	0.2071997943
72	0.206914854
73	0.2064047
74	0.2056593256
75	0.2051551536
76	0.2047461614
77	0.204403236
78	0.2040322523
79	0.2036840263
80	0.20316434
81	0.2028872097
82	0.2025177757
83	0.2021006155
84	0.2018369292
85	0.2013744057
86	0.2010521563
87	0.2008124439
88	0.2004839548
89	0.2001433582
90	0.1998301754
91	0.1995494111
92	0.1993143773
93	0.1988675434
94	0.1984525648
95	0.1979113677
96	0.1974571389
97	0.1970597258
98	0.1967915046
99	0.1965189231
