iter	Passed	Remaining
0	17	1771
1	34	1689
2	50	1627
3	66	1598
4	84	1597
5	100	1580
6	116	1549
7	132	1523
8	147	1494
9	163	1475
10	179	1452
11	195	1432
12	211	1417
13	229	1407
14	245	1390
15	264	1387
16	280	1371
17	297	1353
18	313	1334
19	329	1316
20	346	1304
21	364	1291
22	385	1289
23	407	1290
24	426	1280
25	444	1265
26	460	1244
27	478	1231
28	494	1210
29	509	1188
30	524	1167
31	539	1147
32	556	1129
33	573	1113
34	590	1096
35	605	1077
36	621	1058
37	637	1039
38	653	1021
39	670	1005
40	686	988
41	703	971
42	720	954
43	735	936
44	751	918
45	768	902
46	785	885
47	801	867
48	818	851
49	836	836
50	853	820
51	871	804
52	888	787
53	906	771
54	924	756
55	941	739
56	960	724
57	979	709
58	994	691
59	1009	673
60	1025	655
61	1039	636
62	1053	618
63	1068	601
64	1083	583
65	1097	565
66	1112	547
67	1126	530
68	1141	512
69	1156	495
70	1170	477
71	1184	460
72	1203	445
73	1217	427
74	1232	410
75	1248	394
76	1263	377
77	1278	360
78	1293	343
79	1307	326
80	1322	310
81	1336	293
82	1352	276
83	1366	260
84	1380	243
85	1395	227
86	1409	210
87	1424	194
88	1438	177
89	1452	161
90	1467	145
91	1482	128
92	1496	112
93	1510	96
94	1525	80
95	1539	64
96	1554	48
97	1569	32
98	1583	15
99	1598	0
